,resent,pslave1860,cottonsuit,coarea00,rugged,latitude,longitude,water1860,state.abb,sample.size
363,5,0.177804296,0.520655,0.07032205,NA,31.5536823,-82.45278904,0,GA,5.624965158
364,NA,0.700501505,0.6276,0.085681449,7.507851124,31.32619324,-84.44465598,1,GA,0.109406475
365,2.808886776,0.542961005,0.667733333,0.0668619,23.12463379,33.06890899,-83.24974533,1,GA,9.239343491
366,3.632785064,0.159393813,0.393611111,0.059364323,46.66136169,34.35409079,-83.49741313,0,GA,2.914141998
367,4.248980637,0.306970434,0.434866667,0.041160131,NA,33.99320484,-83.71269358,0,GA,28.55246409
368,4.273485179,0.272322564,0.355766667,0.119145901,42.96300507,34.23784043,-84.84050793,0,GA,48.32542228
369,4.735606821,0.166709601,0.576783333,0.062603976,NA,31.75979242,-83.22053377,1,GA,7.675248919
370,5,0.124316547,0.54915625,0.112259762,12.72874069,31.27609407,-83.22971292,0,GA,13.80158855
371,3.927415838,0.416794549,0.685811111,0.063624282,22.1778183,32.80666358,-83.69790464,0,GA,33.78642574
372,NA,0.46957914,0.502872222,0.054416439,NA,32.43437976,-83.32792517,0,GA,1.727962706
373,4.58441346,0.216029397,0.512766667,0.109687135,NA,31.19694329,-81.98191238,1,GA,7.626802205
374,4.696034179,0.59252802,0.51485,0.111794069,10.69195938,32.0146606,-81.44379503,1,GA,19.07675358
375,4.309290545,0.381439661,0.581451923,0.17101607,16.97629356,32.39690675,-81.74325832,0,GA,23.39310907
376,4.284943247,0.70212642,0.512593103,0.208681506,18.79222488,33.06113354,-82.00095589,1,GA,13.49933506
377,3.785597201,0.475135554,0.64004375,0.047650889,23.60812187,33.28918933,-83.95718888,0,GA,15.11915723
378,4.452901797,0.764391144,0.504722917,0.167681751,6.70819521,30.93052283,-81.67043411,1,GA,33.26680135
379,4.895967636,0.155283129,0.434485,0.126736409,36.66674042,33.58281629,-85.07974477,0,GA,60.30023828
380,3.954835563,0.139708776,0.290475,0.041559469,35.71390152,34.90354799,-85.13811474,0,GA,24.10960355
381,3.484137858,0.312921348,0.674823214,0.191216373,12.38711071,30.78172318,-82.13788091,1,GA,1.977825185
382,4.007156598,0.476983539,0.501673333,0.121967372,6.68253088,32.00426447,-81.1325846,1,GA,63.93416077
383,NA,0.475763326,0.532464286,0.062189469,28.9619751,32.34704094,-84.7868248,1,GA,0.940538526
384,2,0.286671319,0.359031818,0.079684879,84.19638824,34.47504093,-85.34534014,0,GA,4.011217865
385,4.079163977,0.106190771,0.270984211,0.110001429,44.08036804,34.24390418,-84.47644874,0,GA,123.2459893
386,3.819340671,0.504546265,0.447325,0.030612994,17.82282829,33.95127473,-83.36752805,0,GA,45.67683409
387,5,0.460453709,0.465485714,0.053446771,22.69229507,31.62639529,-84.98029038,1,GA,4.429378264
388,4.488754032,0.274518585,0.43467,0.036250889,16.88206482,33.54197513,-84.357694,0,GA,46.36540976
389,4.430931916,0.268150541,0.423192308,0.087008647,26.06558609,33.94143621,-84.57670853,0,GA,301.7194041
390,2,0.230288295,0.5381225,0.148299548,13.40805817,31.54929414,-82.84929793,1,GA,3.885021904
391,4.407204533,0.083586626,0.521384091,0.136388287,14.50846767,31.18838223,-83.76879995,0,GA,7.672054389
392,4.788187543,0.699241147,0.592254167,0.077377302,23.85962868,33.54419781,-82.26405919,0,GA,34.93545665
393,4.610307202,0.124316547,0.553227778,0.057171907,NA,31.1539619,-83.43051111,0,GA,10.59936883
394,3.979792902,0.49296062,0.438892857,0.111907865,21.14130974,33.35346968,-84.76326447,0,GA,32.55282992
395,NA,0.555050045,0.655354167,0.081333964,23.66851234,32.71449376,-83.98637663,0,GA,0.734949378
396,5,0.456431535,0.56055,0.069461799,NA,31.92296963,-83.7681466,0,GA,4.352991994
397,NA,0.097751711,0.253778571,0.044455058,135.3709412,34.85456279,-85.50451141,0,GA,2.847022656
