female,educ,race,minority,hispanic,marstat,faminc,age,given
0,graduate,1,0,2,1,112.396,82,200
1,college,1,0,2,1,43.065,66,200
0,graduate,1,0,2,1,239.41,65,1000
1,college,1,0,2,1,86.898,50,100
0,college,1,0,2,5,81.918,22,150
1,graduate,1,0,2,5,99.594,54,2000
0,highschool,1,0,2,1,31.082,61,100
0,graduate,1,0,2,1,64.172,74,60
1,college,1,0,2,1,91.627,53,100
1,college,1,0,2,4,58.107,77,200
0,college,1,0,2,1,200.789,46,500
0,college,1,0,2,1,197.928,36,100
0,college,1,0,2,1,75.643,65,25
0,graduate,1,0,2,1,68.648,64,300
1,college,1,0,2,3,34.309,80,35
0,graduate,1,0,2,1,131.89,33,200
1,college,1,0,2,1,237.397,65,3000
0,graduate,1,0,2,1,55.543,66,20
1,college,1,0,2,1,63.925,55,100
0,college,1,0,2,1,180.572,47,50
0,college,1,0,2,1,22.243,35,200
0,college,7,1,2,1,163.203,54,50
0,college,2,1,2,1,22.307,78,10
1,college,1,0,2,3,42.797,60,100
0,college,1,0,2,1,92.828,34,500
1,graduate,1,0,2,4,25.306,65,100
0,college,1,0,2,1,48.088,52,80
1,graduate,1,0,2,1,82.853,47,200
1,college,1,0,2,1,174.257,61,300
1,college,2,1,2,1,30.734,70,300
1,college,2,1,2,3,56.29,64,25
0,highschool,2,1,2,3,11.103,65,5
1,graduate,1,0,2,1,85.185,64,25
1,highschool,1,0,2,5,26.397,62,25
0,college,1,0,2,1,172.554,79,200
1,college,1,0,2,3,21.845,67,100
0,college,1,0,2,5,61.245,58,300
1,college,8,1,2,3,130.136,58,300
0,college,1,0,2,5,54.669,48,200
0,graduate,1,0,2,3,11.622,66,200
1,college,1,0,2,4,113.471,60,20
1,college,1,0,2,1,85.162,46,40
1,college,1,0,2,1,56.523,61,500
1,college,1,0,2,1,55.119,29,125
1,college,1,0,2,1,87.464,65,500
0,graduate,1,0,2,4,50.303,72,50
1,college,1,0,2,3,22.522,71,200
0,college,1,0,2,5,72.602,52,20
0,highschool,1,0,2,3,13.43,74,50
0,highschool,1,0,2,5,40.439,55,100
1,college,1,0,2,3,123.305,55,125
0,graduate,1,0,2,1,96.421,79,300
0,graduate,1,0,2,1,130.485,61,300
1,college,1,0,2,5,49.229,77,25
0,college,1,0,2,1,82.523,71,20
1,highschool,4,1,2,4,15.552,64,50
0,college,1,0,2,5,91.508,60,100
1,college,2,1,2,3,3.344,55,35
1,highschool,5,1,2,4,1.063,63,100
0,graduate,2,1,2,4,99.872,82,1200
0,graduate,1,0,2,1,29.718,64,10
1,college,2,1,2,6,93.074,61,10
1,college,1,0,2,1,118.327,78,100
0,graduate,1,0,2,1,131.505,60,25
0,college,1,0,2,1,131.18,66,520
1,graduate,1,0,2,1,126.703,40,200
0,college,1,0,2,5,46.573,68,200
1,highschool,1,0,2,1,18.446,73,10
0,college,1,0,2,1,95.66,81,25
0,college,1,0,2,1,74.198,78,25
0,college,1,0,2,1,98.749,57,50
0,graduate,1,0,2,1,78.426,42,100
0,highschool,1,0,2,1,145.699,63,200
0,college,1,0,2,1,78.106,58,25
0,college,1,0,2,5,91.96,48,100
1,college,1,0,2,6,154.235,61,50
1,graduate,1,0,2,5,31.082,54,400
0,graduate,1,0,2,1,112.411,65,350
0,college,1,0,2,1,76.749,50,50
0,graduate,2,1,2,5,15.643,67,5
0,college,1,0,2,1,221.083,61,500
0,graduate,1,0,2,1,51.408,69,50
0,graduate,1,0,2,1,78.104,77,200
1,college,1,0,2,3,15.555,48,300
0,graduate,1,0,2,1,196.081,64,100
0,graduate,1,0,2,1,65.98,69,5
1,highschool,1,0,2,4,10.574,65,25
0,graduate,1,0,2,1,143.362,81,50
0,college,1,0,2,1,50.727,63,100
0,college,1,0,2,1,60.579,72,500
1,graduate,1,0,2,4,34.701,72,150
1,college,1,0,2,1,224.945,55,500
0,college,1,0,2,1,107.003,50,100
0,college,1,0,2,1,93.154,60,75
0,college,1,0,2,1,90.816,61,11
1,graduate,1,0,2,1,189.251,60,100
1,graduate,1,0,2,5,37.685,73,50
0,college,1,0,2,1,328.162,66,400
1,college,2,1,2,4,59.539,76,250
1,graduate,1,0,2,5,70.345,50,500
1,college,1,0,2,1,41.107,54,25
0,college,1,0,2,6,51.432,52,50
1,graduate,1,0,2,1,80.887,57,200
1,graduate,1,0,2,1,82.744,69,200
1,college,1,0,2,4,80.524,72,500
1,college,1,0,2,1,55.976,65,450
1,college,1,0,2,1,66.321,70,200
1,graduate,1,0,2,2,47.983,72,100
0,graduate,1,0,2,1,51.449,80,25
0,graduate,1,0,2,5,99.691,73,150
0,graduate,1,0,2,1,68.235,65,300
0,college,1,0,2,3,12.024,59,100
1,highschool,1,0,2,1,93.433,50,100
1,college,1,0,2,6,47.762,59,1
1,highschool,1,0,2,3,45.211,68,2000
1,college,1,0,2,1,87.955,53,50
0,graduate,1,0,2,1,148.236,78,200
0,college,1,0,2,1,82.989,78,850
0,college,1,0,2,1,53.317,72,200
0,college,1,0,2,1,56.559,66,20
0,college,1,0,2,3,20.198,66,250
1,college,1,0,2,1,82.975,67,100
0,college,2,1,2,1,28.411,60,25
0,college,1,0,2,1,57.876,59,120
1,graduate,1,0,2,6,131.641,53,50
1,college,1,0,2,1,65.405,66,25
1,college,1,0,2,1,86.001,69,200
0,college,1,0,2,1,242.899,74,2000
1,graduate,1,0,2,4,54.683,70,100
0,graduate,1,0,2,1,242.885,83,1500
1,graduate,1,0,2,4,74.198,68,200
0,college,1,0,2,1,87.254,65,250
1,college,1,0,2,1,52.725,64,100
1,graduate,1,0,2,5,104.262,70,100
0,college,1,0,2,3,57.576,72,50
0,graduate,1,0,2,1,72.63,51,50
1,college,1,0,2,1,58.937,58,50
1,college,1,0,2,1,124.178,61,1500
0,highschool,1,0,2,1,46.578,72,200
0,college,1,0,2,4,211.771,75,2000
0,college,1,0,2,3,82.559,76,100
1,college,1,0,2,4,33.962,84,200
1,college,1,0,2,4,76.287,69,25
0,graduate,1,0,2,1,86.292,75,800
0,college,1,0,2,6,50.24,86,600
1,college,1,0,2,1,50.447,74,200
1,college,6,1,2,3,50.075,75,125
1,college,1,0,2,3,44.69,59,25
1,college,1,0,2,1,124.056,56,20
0,college,3,1,2,1,38.82,75,30
0,graduate,1,0,2,1,125.788,67,30
1,college,1,0,2,3,44.817,66,800
0,college,1,0,2,1,34.518,70,175
0,college,1,0,2,5,52.039,63,30
1,graduate,1,0,2,2,42.435,62,200
1,graduate,1,0,2,1,118.012,65,200
1,graduate,1,0,2,3,26.828,72,25
0,graduate,1,0,2,6,74.097,63,120
0,college,1,0,2,3,28.663,71,100
1,college,1,0,2,1,61.235,72,50
1,college,1,0,2,1,74.384,69,120
1,graduate,2,1,2,5,17.442,63,25
0,graduate,1,0,2,4,52.778,84,150
1,graduate,1,0,2,5,116.103,62,100
1,graduate,1,0,2,1,84.952,65,500
0,college,1,0,2,1,205.907,67,1000
1,graduate,1,0,2,3,11.966,74,100
1,college,1,0,2,1,57.173,65,10
0,college,1,0,2,3,77.342,66,350
1,college,1,0,2,1,51.693,50,10
0,college,1,0,2,2,43.835,58,50
1,graduate,1,0,2,3,99.753,68,200
0,college,1,0,2,5,55.461,81,200
0,college,1,0,2,4,134.873,66,1000
1,graduate,1,0,2,1,50.387,44,600
0,college,1,0,2,1,80.481,65,100
0,college,1,0,2,1,125.757,68,100
0,college,1,0,2,5,15.933,60,100
0,highschool,1,0,2,6,1.241,61,150
1,college,1,0,2,4,26.844,79,50
0,college,1,0,2,1,165.324,77,500
1,graduate,1,0,2,1,140.577,62,150
1,college,1,0,2,1,114.216,65,50
0,highschool,1,0,2,3,27.953,40,100
1,college,1,0,2,1,50.778,71,150
1,graduate,1,0,2,1,77.78,74,500
1,graduate,1,0,2,1,88.971,72,200
0,college,1,0,2,1,107.168,62,200
0,college,1,0,2,1,401.979,77,1000
0,college,1,0,2,1,59.536,54,500
0,graduate,1,0,2,3,55.087,78,200
0,college,1,0,2,5,3.161,53,50
0,college,1,0,2,4,73.92,87,50
0,graduate,1,0,2,1,79.422,81,200
1,college,1,0,2,1,62.596,58,100
0,highschool,1,0,2,1,34.093,82,60
1,graduate,1,0,2,3,50.019,72,50
0,college,1,0,2,5,21.571,61,10
0,college,1,0,2,1,144.469,73,25
1,college,1,0,2,3,32.346,72,20
0,highschool,1,0,2,1,40.805,78,200
0,college,1,0,2,1,76.362,66,200
0,graduate,1,0,2,1,119.164,60,20
0,college,1,0,2,1,52.022,79,10
1,graduate,2,1,2,1,93.576,64,120
0,college,6,1,1,6,123.956,47,200
1,college,1,0,2,1,128.82,59,25
0,graduate,1,0,2,1,117.958,73,500
0,graduate,1,0,2,1,121.732,81,25
0,graduate,7,1,2,3,58.97,74,200
1,college,1,0,2,1,37.983,59,200
1,college,1,0,2,1,144.588,45,1000
1,college,1,0,2,4,49.609,62,50
0,graduate,1,0,2,1,80.106,64,100
1,graduate,1,0,2,1,50.856,66,2150
1,college,1,0,2,4,41.318,88,50
1,graduate,1,0,2,3,97.847,58,25
0,college,6,1,2,1,71.917,66,500
0,graduate,1,0,2,1,64.857,62,75
1,college,2,1,2,5,18.176,66,10
0,college,1,0,2,3,56.679,74,100
0,graduate,1,0,2,1,144.169,78,400
1,college,1,0,2,3,13.238,63,25
1,college,1,0,2,3,34.599,69,50
0,college,6,1,1,2,116.065,56,200
1,college,1,0,2,1,92.795,68,75
1,graduate,1,0,2,6,208.999,69,300
0,graduate,1,0,2,1,48.849,76,200
1,college,1,0,2,5,19.679,30,25
0,college,1,0,2,1,82.59,59,250
0,college,1,0,2,1,269.306,71,100
1,college,1,0,2,1,110.761,72,500
0,graduate,6,1,1,3,98.899,71,400
0,graduate,1,0,2,1,120.308,81,200
1,graduate,1,0,2,1,95.552,69,1000
1,highschool,1,0,2,3,26.159,79,25
0,college,1,0,2,1,63.335,65,50
0,highschool,1,0,2,1,28.048,74,125
1,graduate,1,0,2,4,27.865,63,100
1,graduate,1,0,2,3,35.323,47,10
0,college,1,0,2,3,162.338,57,50
0,graduate,1,0,2,3,93.543,69,100
1,college,1,0,2,3,19.309,70,35
0,college,1,0,2,1,64.934,75,150
0,college,1,0,2,3,26.543,71,50
1,college,1,0,2,1,131.309,45,50
0,college,1,0,2,1,90.033,71,50
1,college,1,0,2,1,45.212,75,100
1,college,1,0,2,3,29.609,83,50
1,college,1,0,2,6,36.283,48,100
